np	t_read [s]	bw_read [MB/s]	t_cmp [s]
40	66.031155	77.539156	10.686482
40	61.146172	83.733778	8.693346
20	60.531798	84.583643	9.305604
20	69.731911	73.424060	11.267293
16	43.885047	116.668441	18.113935
16	45.733053	111.954039	12.632119
8	54.525820	93.900468	17.683623
8	54.944007	93.185777	15.373174
4	21.793764	234.929589	25.169249
4	23.988724	213.433612	54.474701
2	52.997021	96.609204	58.986846
2	55.871593	91.638697	47.735855
1	30.416192	168.331394	108.327586
1	46.929623	109.099534	106.761895
